is_blue_verified,created_at,description,favourites_count,followers_count,friends_count,listed_count,location,media_count,name,normal_followers_count,pinned_tweet_ids_str,possibly_sensitive,profile_banner_url,profile_image_url_https,screen_name,statuses_count,verified,want_retweets,withheld_in_countries,professional_type,smart_blocked_by,smart_blocking,has_hidden_likes_on_profile,has_hidden_subscriptions_on_profile,is_identity_verified,verified_since_msec,can_highlight_tweets,highlighted_tweets,creator_subscriptions_count,url_0_display,url_0_expanded,url_0_url
False,Tue Sep 10 05:21:47 +0000 2019,ChineseEmbassy in Jordan,37,5405,167,109,"No.9 Jakarta Street, D.Rabyeh ",727,Embassy of China in Jordan,5405,['1721939997475897374'],False,https://pbs.twimg.com/profile_banners/1171292606803972097/1697271186,https://pbs.twimg.com/profile_images/1615399851167973383/DnasAaOd_normal.jpg,ChineseembassyJ,2494,False,False,[],,False,False,False,False,False,1614473789133,False,0,0,jo.chineseembassy.org/chn/,http://jo.chineseembassy.org/chn/,https://t.co/sShOWw6Gun
False,Fri May 17 09:02:35 +0000 2019,เอกอัครราชทูตสาธารณรัฐประชาชนจีนประจำประเทศไทย,8,983,21,39,,11,chineseembassybangkok,983,[],False,,https://pbs.twimg.com/profile_images/1129311338193346560/Bi_Ey47b_normal.jpg,chineseembassy1,20,False,False,[],,False,False,False,False,False,1672905600000,False,0,0,,,
False,Tue Dec 10 00:45:22 +0000 2019,The official twitter account of the Consulate General of the People's Republic of China in Calgary,735,3701,223,88,,620,Chinese Consulate General in Calgary,3701,[],False,https://pbs.twimg.com/profile_banners/1204200194390183936/1586016128,https://pbs.twimg.com/profile_images/1246468095968854017/KoDQEBMs_normal.jpg,ChinaCGCalgary,3206,False,False,[],,False,False,False,False,False,,False,0,0,calgary.china-consulate.org/eng/,http://calgary.china-consulate.org/eng/,https://t.co/DOEzmAh3MT
False,Wed Mar 15 02:43:52 +0000 2017,political cartoonist at ChinaDaily,577,667,180,3,中华人民共和国,663,luowill,667,[],False,,https://pbs.twimg.com/profile_images/841843570520686593/Y0Br-xgg_normal.jpg,luowill1978,1223,False,False,[],Creator,False,False,False,False,False,,False,0,0,,,
True,Sun Dec 12 10:27:43 +0000 2021,"Changzhou, located in the center point of Yangtze River Delta, is a vibrant city🏙️. Changzhou shows modern China while still having a foot in tradition.",603,19085,205,41,"Changzhou, China",682,Charming Changzhou,19085,['1649949963814866944'],False,https://pbs.twimg.com/profile_banners/1469977027545501699/1639663646,https://pbs.twimg.com/profile_images/1471479798891368451/PCvPM2i4_normal.jpg,iChangzhou,779,False,False,[],Business,False,False,False,False,False,1682057799709,True,0,0,linko.page/ichangzhou,https://linko.page/ichangzhou,https://t.co/WywOXOGy1h
False,Wed Mar 18 08:54:12 +0000 2020,TV News Reporter and Bilingual Presenter,73,1242,37,13,Beijing,34,Su Yuting 苏钰婷,1242,[],False,https://pbs.twimg.com/profile_banners/1240199777951735808/1584523548,https://pbs.twimg.com/profile_images/1497595769167048715/pcly-6qn_normal.jpg,SuYuting8,133,False,False,[],,False,False,False,False,False,,False,0,0,,,
True,Fri Aug 23 16:27:22 +0000 2019,"Timely updates info on Chinese culture, life and travel. Run by @PDChina, the largest newspaper group in China",0,1899738,26,458,"Beijing, China",9191,Beautiful China,1899738,[],False,https://pbs.twimg.com/profile_banners/1164937093656862720/1607627975,https://pbs.twimg.com/profile_images/1184853004660424711/bbORYS1b_normal.jpg,PDChinaLife,9461,False,False,[],,False,False,False,False,False,1574925773636,True,0,0,,,
False,Sun Mar 18 03:07:21 +0000 2018,Diplomático. Por la amistad China-A.L.,1050,2398,409,21,,359,刘波 LIU Bo,2398,[],False,https://pbs.twimg.com/profile_banners/975206996608798720/1569419993,https://pbs.twimg.com/profile_images/1176858539593261058/cS8hFF8-_normal.jpg,liuboleo2,846,False,False,[],,False,False,False,False,False,,False,0,0,,,
False,Fri May 27 07:47:23 +0000 2016,We know sports. Find our App at: https://t.co/XZgFLUQ2px,6,869540,10,373,"Headquartered in Beijing, PRC",15251,Xinhua Sports,869540,[],False,https://pbs.twimg.com/profile_banners/736101479715614720/1668973933,https://pbs.twimg.com/profile_images/1246472312305496065/GFqrv9ku_normal.jpg,XHSports,15451,False,False,[],,False,False,False,False,False,,False,0,0,xinhuanet.com/english/sports…,http://www.xinhuanet.com/english/sports/index.htm,https://t.co/WI4umkNGoR
True,Thu May 28 06:05:31 +0000 2020,Qiushi Journal provides you with authoritative theory and policy of China.,5082,7538,369,80,"Beijing, China",1720,Qiushi Journal,7538,[],False,https://pbs.twimg.com/profile_banners/1265886690205249536/1699927975,https://pbs.twimg.com/profile_images/1334298989630345217/GZ-n2Dr6_normal.jpg,QiushiJournal,2332,False,False,[],,False,False,False,False,False,1644571708952,True,6,0,en.qstheory.cn,http://en.qstheory.cn/,https://t.co/cHdDEBGFEG
